earn,height,sex,ed,age,race
25000,58.88041785,female,15,83,white
35000,68.42125853,female,16,43,white
28000,62.78643738,female,18,44,white
42000,62.76001463,female,12,40,white
45000,67.82704169,male,12,58,white
55000,64.15769903,female,12,51,white
36000,70.10556287,female,16,30,white
25000,70.27166758,male,10,31,white
19000,72.18898554,male,12,28,white
38000,68.90136464,male,11,50,white
15000,63.07259176,female,14,37,white
4500,57.97290083,female,5,85,white
96000,63.1198862,female,14,27,white
11000,62.70555523,female,12,47,white
9000,72.5743074,male,15,34,white
5000,69.41362739,female,14,24,white
50000,69.82503798,male,12,51,white
6000,64.89705071,female,13,44,white
1.00E+05,71.51571964,male,13,22,white
16500,61.91615744,female,13,46,white
32000,71.60781911,male,14,40,white
30000,72.75964386,male,18,41,white
10000,67.91167374,female,16,42,white
15000,66.13226316,female,12,19,white
6500,59.9059818,female,8,83,white
26000,60.30742627,female,18,63,white
17000,64.87639557,female,12,59,white
22000,62.80542447,female,18,59,other
10000,63.9352294,female,12,41,white
50000,70.50474596,male,14,58,white
20000,67.17893189,male,12,35,white
400,62.90286876,female,12,31,white
16000,65.08064938,female,14,59,white
10000,66.42655773,female,12,66,white
14000,62.94000921,female,13,58,white
5000,65.19971929,female,15,20,white
40000,73.78850542,male,16,34,white
5000,67.1885961,female,13,55,white
25000,67.54550789,female,17,47,white
12000,65.25626089,female,12,51,white
58000,63.70217973,female,16,34,white
18000,67.83460286,female,16,26,white
1000,65.48821445,male,12,18,white
21000,71.7643816,male,17,47,white
11000,65.69803518,male,12,62,black
13000,63.66103394,female,12,36,white
20000,59.63484325,female,16,88,other
25000,71.69116021,male,12,35,black
600,63.51512565,female,12,43,white
25000,67.28185383,male,14,26,black
36000,67.84665714,male,12,28,white
15000,64.05578566,female,13,33,other
3500,65.62335196,female,12,51,white
19005,64.61287335,female,16,34,white
62000,70.36269642,male,14,54,white
25000,70.13581577,male,12,42,white
50000,66.03881676,male,12,52,white
40000,65.66768434,male,12,61,white
26000,73.68208046,male,18,26,white
22000,62.23429931,female,12,48,white
21000,65.58046967,female,17,39,white
6108,62.34290796,female,12,65,white
30000,64.71664797,female,18,64,black
6000,63.41644062,female,12,78,white
27000,70.93384204,male,16,29,white
4000,65.78462934,female,16,42,white
4416,61.52156347,female,6,72,other
5000,63.13920376,female,10,87,white
45000,66.56994118,male,18,40,white
18000,60.76265085,female,14,45,white
6000,66.4024123,female,15,22,white
14000,72.40008758,male,12,24,white
35000,69.32628616,female,14,24,white
15000,64.14804833,female,16,29,white
12000,62.50257785,female,12,29,black
1000,59.6361776,female,12,47,white
32000,69.84609059,male,15,33,black
1500,72.79965179,male,12,19,white
3000,64.87412265,female,16,23,black
35000,64.27538942,female,12,42,white
70000,71.6051603,male,15,48,white
21000,67.13204369,female,16,28,white
50000,69.10554371,male,11,18,white
15000,70.90078558,male,9,21,white
9000,65.99266421,female,8,35,black
10000,63.21551076,female,14,25,black
30000,71.37289408,male,12,47,white
16000,72.07875591,male,14,21,white
20000,67.93926673,male,12,51,white
1.00E+05,71.94711213,male,17,54,white
10000,65.66242218,female,12,43,white
35000,66.47077401,male,14,63,white
7000,65.42764126,female,16,31,white
8000,71.35957916,male,14,27,black
11000,73.69928112,male,10,50,white
25000,70.20954556,male,9,47,white
25000,64.33590164,female,14,45,white
30000,69.23576673,male,14,48,white
48000,63.16802633,female,18,34,white
17000,67.97178429,female,12,46,white
26000,72.63629506,male,16,24,white
10000,62.64563933,female,12,61,white
60000,71.15193853,male,18,53,white
22000,64.94457581,female,18,29,white
6200,64.22718792,female,13,83,white
24000,64.74689624,female,16,32,white
20000,70.69914276,male,14,40,white
7000,69.61523204,female,14,30,white
30000,67.70269807,female,16,48,black
23000,66.09329125,female,18,28,white
20000,64.3995665,female,12,40,white
3000,65.88018538,female,16,29,white
30000,69.73542756,male,16,41,white
12000,63.79240829,female,14,23,white
40000,70.60792463,male,12,38,white
15000,63.83649949,female,14,23,white
36000,63.41337603,female,16,45,white
10000,66.23722097,female,12,53,white
13000,68.38070624,female,14,48,white
10000,61.52425425,female,12,27,black
30000,68.53243422,male,12,37,black
23000,64.46455829,male,13,32,white
20000,69.60981205,male,17,68,white
19000,65.37075393,female,13,82,white
20000,60.7510785,male,11,66,black
28000,63.99365606,male,14,63,black
13000,64.58116374,female,10,80,white
12000,64.13895229,male,12,75,white
20000,69.3012936,male,11,23,white
25000,73.63658129,male,12,30,white
25000,68.19243049,female,13,52,white
18000,66.59645932,female,16,40,white
6000,61.80107459,female,10,68,white
16000,72.24264419,male,13,23,white
45000,73.46034146,male,16,38,white
25000,69.87075788,male,14,69,white
12000,63.51996605,female,14,38,white
2000,68.21243351,female,12,18,white
10000,62.91206546,female,12,18,white
14000,70.72025687,male,12,36,white
15000,63.74181243,female,12,31,white
10000,60.36110787,female,12,39,white
1200,65.76631737,female,4,64,white
15000,58.92336405,female,14,62,white
10000,63.1004373,female,13,64,white
2000,66.20176622,male,12,18,white
4000,65.44585027,female,13,33,white
10000,64.39270829,female,14,32,white
1500,65.77418028,female,12,23,white
18000,65.50058268,male,17,26,hispanic
4000,72.89740447,male,15,24,white
28000,72.44737052,male,16,26,white
10000,74.32627922,female,14,22,white
3000,64.6559894,female,16,22,white
12000,70.61206983,male,12,21,white
19000,68.07567655,female,13,45,white
36000,70.49066375,male,16,39,white
7000,64.21713145,female,16,59,white
35000,58.72468382,female,11,34,white
40000,67.90288028,male,18,43,white
15000,67.93033699,male,14,25,white
8000,68.82436522,female,13,43,white
25000,69.43574369,female,14,55,white
28000,75.26532386,male,18,38,white
22000,69.13342033,male,14,35,white
21500,72.04505882,male,13,24,black
3000,68.33676267,female,12,23,white
23000,71.53957462,male,13,28,white
18000,72.3549481,male,12,73,white
20000,67.29745543,male,16,71,white
16000,63.21394254,female,12,46,hispanic
15000,69.21807874,male,12,26,white
53000,62.87643981,female,17,32,hispanic
26000,72.30502775,male,12,27,white
4000,65.43678299,female,12,28,other
10000,72.68582646,male,16,59,white
43000,69.12368046,male,12,51,white
17000,68.80012333,male,14,33,other
4000,61.49718641,female,12,38,hispanic
50000,73.19213414,male,15,48,white
55000,66.86295997,female,18,51,white
28000,63.07393481,female,16,41,white
5000,62.15913715,female,14,48,white
18000,65.39748896,female,13,49,white
21000,71.56490138,male,15,62,hispanic
12000,67.19160234,female,12,33,white
33000,65.4967554,female,16,62,hispanic
50000,72.42629703,male,13,64,hispanic
6000,65.38834306,female,9,74,hispanic
16000,63.81681946,female,14,59,white
35000,68.2084199,male,12,50,white
25000,68.2921116,female,12,43,white
20000,76.38235892,male,14,26,white
18000,62.61693468,female,12,36,white
34000,74.3972182,male,14,78,white
25000,68.47598251,male,16,25,white
20000,72.08175949,male,17,77,white
33000,67.56833714,male,12,69,white
4000,64.54942883,female,12,73,white
20000,60.10433812,female,8,77,white
40000,72.36484842,male,16,33,white
14000,63.72688755,female,14,40,white
12000,68.01106719,female,12,48,white
25000,61.14690149,female,12,31,white
70000,67.08764593,female,10,72,white
38000,67.20367768,female,17,55,white
14000,63.04841667,female,12,28,white
15000,60.24539708,female,13,37,white
17000,73.56449998,male,16,31,white
60000,68.8187892,male,14,66,white
15000,66.74729962,female,15,69,white
25000,64.91763443,male,16,86,white
18000,62.20893278,male,12,63,hispanic
70000,71.82154158,male,18,47,white
30000,64.57803294,female,18,59,white
8000,62.3622856,female,12,51,white
30000,70.92462479,male,16,34,white
27000,71.35941083,male,14,32,white
47000,70.07702359,male,18,43,white
12000,66.55482376,male,12,22,hispanic
24000,61.77155792,female,17,34,white
13000,62.89387013,female,12,35,hispanic
80000,60.81634956,female,14,37,white
5000,71.81257574,male,12,18,white
25000,62.51971848,female,10,60,white
28000,65.83384499,male,12,44,white
8000,64.12672119,female,15,20,white
10000,66.43377774,female,13,51,white
9000,68.26159186,female,14,41,white
20000,59.55762356,female,12,37,white
12000,65.18920345,male,12,71,white
15000,64.76620056,female,14,66,white
20000,61.33604968,female,14,36,white
28000,63.90803001,female,14,36,white
265,65.98171716,female,15,21,white
35000,69.35290808,male,14,74,white
26000,65.99868824,female,14,32,hispanic
27000,66.64219578,female,17,34,white
14000,68.3784564,female,12,30,white
32000,65.51631812,male,16,33,white
10000,69.09659387,female,14,32,white
7000,69.32438184,male,16,30,white
28000,71.01264519,male,17,46,white
60000,73.87645668,male,13,54,white
12000,68.5399655,male,4,62,white
15000,75.15666002,female,13,75,white
15000,71.85208292,male,11,63,white
26000,64.38788805,female,15,32,white
26000,71.68614656,male,16,25,hispanic
18720,62.75756867,female,10,36,black
12000,63.80685747,female,12,73,black
80000,70.4283587,male,17,39,white
48000,66.41483628,female,13,39,white
18000,62.4987126,male,16,27,other
85000,69.73083269,male,15,65,white
35000,63.6405911,female,12,47,black
5000,68.70302328,male,16,22,white
9000,64.18300504,female,13,22,hispanic
30000,67.13533046,female,16,27,white
80000,71.67133336,male,14,58,white
35000,65.06635863,female,16,32,white
12000,63.38768808,female,14,34,white
2.00E+05,69.66276413,male,18,34,white
4000,64.2087081,female,16,45,white
2000,68.04927626,male,12,18,white
24000,65.95545664,female,18,69,white
2000,66.3163455,male,15,23,hispanic
15000,69.68933276,male,17,30,white
6000,62.25103435,female,12,65,white
5000,65.91611322,male,12,75,white
1500,66.49010548,female,12,21,hispanic
28000,63.54175663,female,18,48,white
9000,69.91640864,female,12,35,white
60000,74.14909916,male,14,52,white
1200,65.50047831,male,12,19,white
1400,61.64302291,female,3,64,hispanic
7000,66.43334281,female,13,43,white
21000,62.27001571,female,12,31,white
44000,69.05177852,male,12,58,white
29000,67.69979999,male,16,36,black
3000,71.82784908,male,14,18,hispanic
12000,64.32170257,male,13,22,black
20000,72.47294426,male,12,28,hispanic
1200,61.72064359,female,5,73,black
37000,73.76300888,male,16,25,white
8000,66.28668867,male,10,60,other
35000,67.89219734,male,16,30,hispanic
25000,61.94550805,male,14,37,other
18000,71.1757075,female,10,29,white
30000,62.52137326,female,16,36,black
20000,69.24438206,male,18,69,white
12000,71.20132672,male,6,40,hispanic
10000,65.93158199,female,12,68,white
18000,71.89919003,male,14,48,white
20000,72.11578227,male,12,26,black
31000,67.54589484,female,16,43,white
6000,63.50633504,male,10,36,hispanic
12000,69.84663837,male,13,40,white
13000,66.3597141,female,16,33,white
26000,66.51458172,female,17,34,white
15000,68.06512502,female,11,31,black
30000,63.77364984,female,17,28,white
2000,64.70482859,female,14,41,white
5000,69.95972129,male,13,22,other
53000,71.26887988,female,14,26,white
2000,61.8733625,female,13,18,white
25000,70.85695431,male,17,29,white
5000,74.30637389,male,12,18,white
21000,64.20480524,female,13,27,white
17000,69.74731735,female,15,27,white
12000,64.0015859,female,13,37,white
42000,69.6259126,male,14,44,hispanic
21000,73.66522424,male,12,33,white
6000,62.72193884,female,12,65,hispanic
25000,73.55018907,male,14,24,white
3000,66.08877346,female,14,19,white
3600,65.39047785,female,15,67,white
4000,70.9189045,male,12,19,white
20000,68.52424985,male,14,58,white
52000,60.29879122,male,15,50,white
60000,64.01087123,female,12,43,white
15000,63.81616972,female,13,41,white
90000,71.89981083,male,16,50,white
26000,61.41213491,female,14,65,white
2000,68.69143395,male,12,21,white
16000,67.11030016,female,12,61,white
24000,64.56857588,female,11,27,hispanic
15000,68.26173676,male,16,28,hispanic
42000,74.42452398,male,17,43,white
10000,65.19332902,female,12,43,white
17000,70.70129909,male,13,36,hispanic
30000,64.43979969,female,14,34,white
32000,68.86162531,female,17,37,white
36000,64.38677808,female,17,34,hispanic
10000,71.90195809,male,13,20,hispanic
20000,62.55288525,female,15,29,white
24000,64.88606794,female,12,29,white
17000,71.65621121,male,12,32,white
23000,65.15171275,female,14,48,white
25000,64.28044952,female,12,33,white
50000,70.88340739,male,12,50,white
20000,61.76661529,female,12,30,white
30000,66.27003305,female,16,33,white
7000,64.07142134,female,10,39,white
7000,66.80598608,male,10,78,white
30000,68.07656199,male,11,32,white
3000,65.75189097,female,12,24,white
20000,66.01493875,female,14,43,white
40000,65.76546694,female,16,59,white
10000,66.74771387,male,12,77,white
16000,66.14088681,male,12,37,white
11000,63.3003661,female,9,51,white
16000,67.61928205,female,13,43,white
18000,70.42987008,male,12,27,white
12000,62.62478214,female,16,26,white
4000,69.9880636,male,14,21,black
60000,71.81932456,male,12,45,white
43000,74.77191654,male,17,40,white
31000,61.96559801,female,14,39,white
50000,68.21042316,female,17,39,white
27000,68.04934586,female,14,29,white
30000,70.49075496,male,17,56,white
12000,73.38320556,male,13,21,black
20000,62.13713215,female,17,30,white
15000,59.77628987,female,12,76,black
25000,64.15964764,female,16,37,other
2000,60.19709941,female,6,67,hispanic
3000,73.26521355,male,15,20,hispanic
110000,66.312035,female,18,48,other
55000,68.99588958,male,18,71,white
58000,70.34336983,male,18,53,white
10000,70.0562757,female,16,36,white
19000,72.16573306,male,12,29,white
15000,61.13579953,female,18,82,white
8000,63.66416353,female,12,33,white
60000,71.9258358,male,12,50,white
6000,68.36848621,male,12,27,white
